Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-3523.993	-3750.494	226.5019	2.227855	1.702951
6	-3531.575	-3758.652	227.0777	1.859433	1.553253
12	-3466.269	-3691.687	225.4178	2.138085	2.477263
18	-3499.16	-3724.796	225.6356	2.640135	2.013818
24	-3514.955	-3742.072	227.1167	1.996287	1.420756
30	-3491.765	-3718.464	226.6985	1.996287	1.727608
36	-3433.123	-3659.131	226.0078	1.845001	2.28936
42	-3405.511	-3631.274	225.763	1.652583	2.564779
48	-3381.324	-3607.453	226.1295	1.761093	2.265191
54	-3484.265	-3709.619	225.3535	3.027776	1.943147
60	-3531.17	-3755.151	223.981	2.650019	3.042464
66	-3523.367	-3750.759	227.392	1.967096	1.222603
72	-3539.669	-3767.19	227.5214	2.306957	0.7303806
78	-3560.979	-3787.456	226.4769	2.168144	1.762492
84	-3570.388	-3794.74	224.3519	3.076154	2.557069
90	-3564.96	-3791.766	226.8056	3.076154	0.3900663
96	-3541.313	-3768.727	227.4142	2.426179	0.7107556
102	-3592.363	-3817.247	224.8848	3.29491	2.077311
108	-3500.919	-3725.911	224.9916	2.786719	2.336873
114	-3516.331	-3742.4	226.0684	2.188062	2.026589
120	-3607.241	-3834.104	226.8634	3.028121	0.6027572
126	-3492.892	-3718.691	225.7985	1.992435	2.328869
132	-3486.583	-3713.012	226.4294	1.699166	2.110912
138	-3452.23	-3679.186	226.956	2.211384	1.378437
144	-3454.127	-3681.176	227.0491	2.05124	1.430513
150	-3512.885	-3740.16	227.2747	2.09027	1.217603
156	-3382.339	-3609.205	226.8658	1.959252	1.634904
162	-3424.842	-3649.929	225.0875	1.55928	3.033017
168	-3506.666	-3731.753	225.0875	1.55928	3.033017
174	-3483.464	-3709.343	225.8793	2.210036	2.136593
180	-3506.217	-3732.418	226.201	2.449682	1.758578
186	-3392.588	-3619.267	226.6786	2.06711	1.691634
192	-3404.56	-3631.803	227.2421	2.340185	1.020764
198	-3330.406	-3555.923	225.5172	2.081541	2.450416
204	-3418.699	-3646.097	227.3977	2.509227	0.5410719
210	-3487.237	-3713.719	226.4825	2.09657	1.808314
216	-3439.14	-3665.878	226.7386	1.606763	1.967278
222	-3365.867	-3593.418	227.551	2.240739	0.784363
228	-3487.947	-3714.101	226.1548	2.413706	1.815626
234	-3450.004	-3676.568	226.5641	2.106609	1.74455
240	-3515.965	-3742.576	226.6106	1.819975	1.909891
246	-3513.409	-3738.904	225.4948	2.301848	2.325234
252	-3511.553	-3735.95	224.3976	1.951873	3.210073
258	-3492.91	-3719.05	226.14	1.744328	2.269169
264	-3602.319	-3825.411	223.092	2.158649	3.850401
270	-3655.229	-3882.672	227.4425	1.969657	1.177115
276	-3549.244	-3775.431	226.1872	2.294356	1.875234
282	-3500.717	-3725.224	224.5067	1.595165	3.35611
288	-3493.596	-3720.569	226.9729	2.894252	0.6612448
294	-3519.734	-3745.819	226.0852	2.070193	2.093315
300	-3586.396	-3810.977	224.5815	1.83769	3.168735
306	-3564.482	-3790.591	226.1091	1.962654	2.148085
312	-3452.614	-3678.649	226.0358	2.131903	2.085255
318	-3541.816	-3768.846	227.0301	2.16661	1.355309
324	-3616.958	-3844.478	227.52	2.311305	0.7255899
330	-3550.093	-3776.654	226.5605	1.775586	1.973484
336	-3585.942	-3810.698	224.7556	1.627946	3.189844
342	-3591.027	-3816.449	225.4215	2.429311	2.290662
348	-3523.017	-3747.442	224.4248	2.052895	3.13394
354	-3606.218	-3830.742	224.5234	1.95427	3.13394
360	-3577.879	-3804.594	226.7151	2.181818	1.582773
366	-3518.688	-3742.866	224.1785	2.181818	3.203657
372	-3495.482	-3721.634	226.152	1.604861	2.350558
378	-3485.978	-3712.512	226.5343	2.093285	1.774629
384	-3530.125	-3757.186	227.0606	2.607232	0.93316
390	-3578.511	-3805.152	226.6413	2.042021	1.735665
396	-3584.721	-3810.519	225.798	2.214929	2.186274
402	-3598.254	-3824.368	226.1136	2.137028	2.030494
408	-3591.849	-3818.808	226.959	2.055369	1.495795
414	-3638.718	-3863.323	224.6053	2.641013	2.669423
420	-3659.074	-3886.279	227.2047	2.319363	1.076438
426	-3641.184	-3868.538	227.3544	2.191209	1.05615
432	-3538.491	-3764.047	225.556	1.709182	2.65778
438	-3554.225	-3781.177	226.952	1.698375	1.758801
444	-3485.086	-3709.669	224.5831	1.992812	3.075403
450	-3543.602	-3770.487	226.8845	2.682658	1.035566
456	-3485.373	-3712.376	227.003	2.905621	0.4724575
462	-3459.527	-3686.508	226.981	2.905621	0.6164083
468	-3493.022	-3718.829	225.8071	3.526215	1.244234
474	-3480.104	-3706.141	226.0374	2.061658	2.130238
480	-3374.317	-3600.704	226.3863	2.195137	1.806684
486	-3367.863	-3594.147	226.2846	1.969194	2.028368
492	-3424.78	-3651.043	226.2628	1.990946	2.028368
498	-3513.664	-3738.522	224.8574	1.565687	3.16638
504	-3552.238	-3775.654	223.4157	1.4734	4.057378
510	-3569.35	-3792.61	223.2592	1.629836	4.057378
516	-3660.07	-3883.653	223.5825	1.711284	3.825624
522	-3640.559	-3865.941	225.382	2.131369	2.503894
528	-3612.701	-3838.444	225.7433	2.226658	2.214105
534	-3551.807	-3779.139	227.3318	2.318537	0.9517505
540	-3532.159	-3757.462	225.3027	2.029285	2.616576
546	-3593.825	-3819.762	225.9366	1.661583	2.450733
